transaction_id,is_fraud,fraud_reason,fraud_risk_score
T0000001,0,,0.74
T0000002,0,,0.65
T0000003,0,,0.24
T0000004,0,,0.62
T0000005,0,,0.56
T0000006,0,,0.65
T0000007,0,,0.18
T0000008,0,,0.66
T0000009,0,,0.34
T0000010,0,,0.6
T0000011,0,,0.66
T0000012,0,,0.23
T0000013,0,,0.83
T0000014,0,,0.86
T0000015,0,,0.03
T0000016,0,,0.97
T0000017,0,,0.69
T0000018,0,,0.12
T0000019,0,,0.63
T0000020,0,,0.41
T0000021,0,,0.61
T0000022,0,,0.43
T0000023,1,High risk transaction,0.71
T0000024,0,,0.05
T0000025,0,,0.1
T0000026,0,,0.04
T0000027,0,,0.5
T0000028,0,,0.67
T0000029,0,,0.02
T0000030,0,,0.75
T0000031,0,,0.33
T0000032,0,,0.22
T0000033,0,,0.87
T0000034,0,,0.96
T0000035,0,,0.45
T0000036,0,,0.8
T0000037,0,,0.9
T0000038,0,,0.92
T0000039,0,,0.84
T0000040,0,,0.16
T0000041,0,,0.37
T0000042,0,,0.51
T0000043,0,,0.08
T0000044,0,,0.68
T0000045,0,,0.83
T0000046,0,,0.84
T0000047,0,,0.28
T0000048,0,,0.06
T0000049,0,,0.59
T0000050,0,,0.07
T0000051,0,,0.3
T0000052,0,,0.42
T0000053,0,,0.42
T0000054,0,,0.34
T0000055,0,,0.93
T0000056,0,,0.89
T0000057,0,,0.06
T0000058,0,,0.41
T0000059,0,,0.35
T0000060,0,,0.06
T0000061,0,,0.74
T0000062,0,,0.16
T0000063,0,,0.55
T0000064,0,,0.58
T0000065,0,,0.38
T0000066,1,High risk transaction,0.87
T0000067,0,,0.28
T0000068,0,,0.25
T0000069,0,,0.73
T0000070,0,,0.85
T0000071,0,,0.13
T0000072,0,,0.83
T0000073,0,,0.33
T0000074,0,,0.52
T0000075,0,,0.27
T0000076,0,,0.78
T0000077,0,,0.02
T0000078,0,,0.59
T0000079,0,,0.82
T0000080,0,,0.81
T0000081,0,,0.87
T0000082,0,,0.23
T0000083,0,,0.7
T0000084,0,,0.38
T0000085,0,,0.33
T0000086,0,,0.9
T0000087,0,,0.07
T0000088,0,,0.56
T0000089,0,,0.7
T0000090,0,,0.37
T0000091,0,,0.24
T0000092,0,,0.88
T0000093,0,,0.11
T0000094,0,,0.76
T0000095,0,,0.69
T0000096,0,,0.74
T0000097,0,,0.64
T0000098,0,,0.02
T0000099,0,,0.05
T0000100,0,,0.2
T0000101,0,,0.09
T0000102,0,,0.89
T0000103,0,,0.95
T0000104,0,,0.95
T0000105,0,,0.52
T0000106,0,,0.7
T0000107,0,,0.14
T0000108,0,,0.22
T0000109,0,,0.67
T0000110,0,,0.52
T0000111,0,,0.02
T0000112,0,,0.93
T0000113,0,,0.29
T0000114,0,,0.52
T0000115,0,,0.22
T0000116,0,,0.58
T0000117,1,Multiple failed attempts,0.97
T0000118,0,,0.18
T0000119,0,,0.75
T0000120,0,,0.21
T0000121,0,,0.37
T0000122,0,,0.86
T0000123,0,,0.08
T0000124,0,,0.92
T0000125,0,,0.33
T0000126,0,,0.22
T0000127,0,,0.95
T0000128,0,,0.2
T0000129,0,,0.03
T0000130,0,,0.23
T0000131,0,,0.29
T0000132,0,,0
T0000133,0,,0.11
T0000134,0,,0.59
T0000135,0,,0.95
T0000136,0,,0.42
T0000137,0,,0.51
T0000138,0,,0.69
T0000139,0,,0.76
T0000140,0,,0.71
T0000141,0,,0.87
T0000142,0,,0.59
T0000143,0,,0.04
T0000144,0,,0.19
T0000145,0,,0.16
T0000146,0,,0.32
T0000147,0,,0.29
T0000148,0,,0.98
T0000149,1,High risk transaction,0.84
T0000150,0,,0.88
T0000151,0,,0.33
T0000152,1,High risk transaction,0.72
T0000153,0,,0.37
T0000154,0,,0.28
T0000155,0,,0.1
T0000156,0,,0.98
T0000157,0,,0.81
T0000158,0,,0.16
T0000159,0,,0.1
T0000160,1,Multiple failed attempts,0.69
T0000161,0,,0.61
T0000162,0,,0.06
T0000163,0,,0.03
T0000164,0,,0.22
T0000165,0,,0.75
T0000166,0,,0.35
T0000167,1,Multiple failed attempts,0.07
T0000168,0,,0.6
T0000169,0,,0.59
T0000170,0,,0.55
T0000171,0,,0.83
T0000172,0,,0.78
T0000173,0,,0.03
T0000174,0,,0.03
T0000175,0,,0.63
T0000176,0,,0.18
T0000177,0,,0.56
T0000178,0,,0.54
T0000179,0,,0.45
T0000180,0,,0.52
T0000181,0,,0.99
T0000182,0,,0.32
T0000183,0,,0.15
T0000184,0,,0.9
T0000185,0,,0
T0000186,0,,0.12
T0000187,1,High risk transaction,0.83
T0000188,0,,0.01
T0000189,0,,0.76
T0000190,0,,0.01
T0000191,0,,0.55
T0000192,0,,0.26
T0000193,0,,0.62
T0000194,0,,0.38
T0000195,0,,0.5
T0000196,0,,0.97
T0000197,0,,0.92
T0000198,0,,0.58
T0000199,0,,0.89
T0000200,1,High risk transaction,0.77
T0000201,0,,0.8
T0000202,0,,0.92
T0000203,0,,0.59
T0000204,0,,0.49
T0000205,0,,0.78
T0000206,1,High risk transaction,0.84
T0000207,0,,0.09
T0000208,0,,0.05
T0000209,0,,0.93
T0000210,0,,0.62
T0000211,0,,0.19
T0000212,1,High risk transaction,0.92
T0000213,0,,0.36
T0000214,0,,0.75
T0000215,0,,0.97
T0000216,0,,0.4
T0000217,0,,0.33
T0000218,0,,0.72
