user_id,age,gender,city,state,signup_date,kyc_status,customer_segment
U00001,38,M,Kolkata,MH,2020-05-28,Not Verified,Retail
U00002,55,M,Jaipur,TG,2020-03-17,Verified,Retail
U00003,33,M,Jaipur,WB,2020-05-01,Not Verified,Retail
U00004,32,M,Indore,MP,2022-03-23,Verified,Retail
U00005,53,M,Chennai,WB,2020-10-22,Verified,Retail
U00006,53,M,Delhi,MP,2023-03-15,Verified,Retail
U00007,53,M,Indore,MH,2023-06-21,Verified,Retail
U00008,45,F,Ahmedabad,MP,2022-07-17,Verified,Retail
U00009,29,M,Delhi,MP,2021-09-06,Verified,Premium
U00010,64,F,Chennai,MP,2020-05-29,Verified,Retail
U00011,39,M,Ahmedabad,WB,2020-03-21,Not Verified,Retail
U00012,53,F,Pune,MH,2023-05-02,Verified,Premium
U00013,22,M,Chennai,GJ,2023-11-28,Verified,Retail
U00014,62,F,Indore,GJ,2021-08-05,Verified,Premium
U00015,40,M,Ahmedabad,MH,2020-12-10,Verified,Retail
U00016,31,F,Bengaluru,TG,2022-03-25,Verified,Premium
U00017,23,M,Ahmedabad,WB,2023-01-30,Verified,Retail
U00018,45,F,Kolkata,MH,2023-10-30,Not Verified,Business
U00019,27,M,Bengaluru,KA,2021-04-20,Verified,Retail
U00020,55,M,Chennai,TN,2020-01-09,Verified,Retail
U00021,57,F,Bengaluru,RJ,2023-06-18,Verified,Premium
U00022,47,F,Kolkata,WB,2022-03-18,Verified,Retail
U00023,21,M,Delhi,TG,2022-06-21,Verified,Retail
U00024,21,M,Mumbai,MP,2020-11-05,Verified,Business
U00025,57,M,Delhi,TG,2023-06-11,Verified,Retail
U00026,40,F,Ahmedabad,DL,2020-08-24,Not Verified,Business
U00027,47,F,Ahmedabad,TN,2020-06-24,Verified,Premium
U00028,65,F,Ahmedabad,KA,2022-11-23,Verified,Business
U00029,51,F,Bengaluru,RJ,2020-02-25,Verified,Retail
U00030,59,M,Chennai,RJ,2022-01-21,Not Verified,Retail
U00031,32,F,Hyderabad,MP,2024-07-19,Verified,Premium
U00032,30,M,Kolkata,TG,2021-02-13,Verified,Retail
U00033,19,M,Chennai,GJ,2021-06-14,Verified,Retail
U00034,40,F,Pune,MH,2020-06-13,Verified,Retail
U00035,30,F,Hyderabad,GJ,2023-07-02,Not Verified,Retail
U00036,18,F,Pune,DL,2024-09-05,Verified,Business
U00037,63,M,Ahmedabad,KA,2022-06-07,Verified,Retail
U00038,64,F,Ahmedabad,WB,2024-03-02,Not Verified,Premium
U00039,28,M,Mumbai,KA,2023-04-24,Not Verified,Premium
U00040,27,F,Pune,KA,2023-01-28,Verified,Retail
U00041,64,M,Jaipur,KA,2022-06-07,Not Verified,Retail
U00042,31,M,Chennai,TG,2021-08-22,Verified,Premium
U00043,38,F,Jaipur,WB,2024-09-04,Verified,Business
U00044,40,F,Indore,RJ,2022-05-11,Not Verified,Premium
U00045,26,M,Jaipur,RJ,2020-02-08,Not Verified,Premium
U00046,56,M,Bengaluru,KA,2020-10-16,Verified,Premium
U00047,53,M,Pune,RJ,2022-12-22,Verified,Premium
U00048,24,M,Hyderabad,TG,2021-07-21,Verified,Retail
U00049,46,M,Delhi,GJ,2021-10-28,Verified,Retail
U00050,50,M,Chennai,GJ,2022-11-06,Verified,Retail
U00051,33,F,Jaipur,TG,2024-09-16,Verified,Retail
U00052,43,F,Pune,DL,2023-10-06,Verified,Retail
U00053,60,F,Delhi,KA,2024-01-06,Verified,Retail
U00054,34,M,Ahmedabad,TG,2024-03-09,Not Verified,Retail
U00055,49,M,Hyderabad,KA,2023-12-17,Verified,Retail
U00056,39,F,Hyderabad,MH,2021-10-14,Verified,Retail
U00057,39,F,Ahmedabad,MH,2022-02-26,Verified,Retail
U00058,50,M,Delhi,TG,2024-11-29,Verified,Retail
U00059,20,M,Chennai,KA,2024-08-05,Verified,Business
U00060,34,F,Bengaluru,RJ,2022-11-20,Verified,Premium
U00061,23,F,Mumbai,KA,2022-05-21,Not Verified,Retail
U00062,19,M,Chennai,DL,2023-05-30,Not Verified,Retail
U00063,25,F,Mumbai,MH,2023-02-06,Verified,Business
U00064,57,M,Mumbai,RJ,2023-12-24,Verified,Retail
